Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;;
3540606;Interior;Porto Feliz;14211;180;;;
3540705;Interior;Porto Ferreira;17347;219;;;
3540754;Interior;Potim;3625;41;;;
3540804;Interior;Potirendaba;6059;100;;;
3540853;Interior;Pracinha;488;6;;;
3540903;Interior;Pradópolis;2061;48;;;
3541000;Interior;Praia Grande;31205;1355;;;
3541059;Interior;Pratânia;1561;19;;;
3541109;Interior;Presidente Alves;724;11;;;
3541208;Interior;Presidente Bernardes;1417;53;;;
3541307;Interior;Presidente Epitácio;6950;151;;;
3541406;Interior;Presidente Prudente;43159;1090;;;
3541505;Interior;Presidente Venceslau;6105;140;;;
3541604;Interior;Promissão;10353;130;;;
3541653;Interior;Quadra;251;9;;;
3541703;Interior;Quatá;2931;32;;;
3541802;Interior;Queiroz;1061;3;;;
3541901;Interior;Queluz;1110;31;;;
3542008;Interior;Quintana;588;34;;;
3542107;Interior;Rafard;1171;18;;;
3542206;Interior;Rancharia;7707;121;;;
3542305;Interior;Redenção da Serra;124;7;;;
3542404;Interior;Regente Feijó;2092;81;;;
3542503;Interior;Reginópolis;991;25;;;
3542602;Interior;Registro;12948;256;;;
3542701;Interior;Restinga;731;10;;;
3542800;Interior;Ribeira;538;8;;;
3542909;Interior;Ribeirão Bonito;1825;34;;;
3543006;Interior;Ribeirão Branco;2738;72;;;
3543105;Interior;Ribeirão Corrente;346;6;;;
3543204;Interior;Ribeirão do Sul;721;27;;;
3543238;Interior;Ribeirão dos Índios;119;8;;;
3543253;Interior;Ribeirão Grande;534;30;;;
3543303;RMSP (exceto capital);Ribeirão Pires;13489;396;;;
3543402;Interior;Ribeirão Preto;105928;3507;;;
3543501;Interior;Riversul;1045;32;;;
3543600;Interior;Rifaina;1021;13;;;
3543709;Interior;Rincão;2135;49;;;
3543808;Interior;Rinópolis;675;21;;;
3543907;Interior;Rio Claro;13942;720;;;
3544004;Interior;Rio das Pedras;3742;121;;;
3544103;RMSP (exceto capital);Rio Grande da Serra;2432;109;;;
3544202;Interior;Riolândia;3014;34;;;
3544251;Interior;Rosana;4965;56;;;
3544301;Interior;Roseira;1613;33;;;
3544400;Interior;Rubiácea;735;11;;;
3544509;Interior;Rubinéia;1364;20;;;
3544608;Interior;Sabino;308;32;;;
3544707;Interior;Sagres;266;4;;;
3544806;Interior;Sales;1197;47;;;
3544905;Interior;Sales Oliveira;1860;33;;;
3545001;RMSP (exceto capital);Salesópolis;725;63;;;
3545100;Interior;Salmourão;526;26;;;
3545159;Interior;Saltinho;2578;26;;;
3545209;Interior;Salto;25836;536;;;
3545308;Interior;Salto de Pirapora;4475;191;;;
3545407;Interior;Salto Grande;2094;19;;;
3545506;Interior;Sandovalina;720;15;;;
3545605;Interior;Santa Adélia;2844;69;;;
3545704;Interior;Santa Albertina;2365;29;;;
3545803;Interior;Santa Bárbara d'Oeste;30607;912;;;
3546009;Interior;Santa Branca;2126;37;;;
3546108;Interior;Santa Clara d'Oeste;556;26;;;
3546207;Interior;Santa Cruz da Conceição;2080;17;;;
3546256;Interior;Santa Cruz da Esperança;204;8;;;
3546306;Interior;Santa Cruz das Palmeiras;5785;140;;;
3546405;Interior;Santa Cruz do Rio Pardo;9270;207;;;
3546504;Interior;Santa Ernestina;558;22;;;
3546603;Interior;Santa Fé do Sul;9689;163;;;
3546702;Interior;Santa Gertrudes;3946;88;;;
3546801;RMSP (exceto capital);Santa Isabel;8782;299;;;
3546900;Interior;Santa Lúcia;798;26;;;
3547007;Interior;Santa Maria da Serra;1341;12;;;
3547106;Interior;Santa Mercedes;892;11;;;
3547205;Interior;Santana da Ponte Pensa;569;6;;;
3547304;RMSP (exceto capital);Santana de Parnaíba;26942;447;;;
3547403;Interior;Santa Rita d'Oeste;442;15;;;
3547502;Interior;Santa Rita do Passa Quatro;1838;47;;;
3547601;Interior;Santa Rosa de Viterbo;2505;59;;;
3547650;Interior;Santa Salete;694;8;;;
3547700;Interior;Santo Anastácio;3958;72;;;
3547809;RMSP (exceto capital);Santo André;96027;3545;;;
3547908;Interior;Santo Antônio da Alegria;543;25;;;
3548005;Interior;Santo Antônio de Posse;4836;70;;;
3548054;Interior;Santo Antônio do Aracanguá;593;40;;;
3548104;Interior;Santo Antônio do Jardim;1417;25;;;
3548203;Interior;Santo Antônio do Pinhal;1577;10;;;
3548302;Interior;Santo Expedito;216;11;;;
3548401;Interior;Santópolis do Aguapeí;763;19;;;
3548500;Interior;Santos;83927;2641;;;
3548609;Interior;São Bento do Sapucaí;820;14;;;
3548708;RMSP (exceto capital);São Bernardo do Campo;77385;3840;;;
3548807;RMSP (exceto capital);São Caetano do Sul;36092;1176;;;
3548906;Interior;São Carlos;36201;639;;;
3549003;Interior;São Francisco;831;21;;;
3549102;Interior;São João da Boa Vista;24578;388;;;
3549201;Interior;São João das Duas Pontes;710;10;;;
3549250;Interior;São João de Iracema;910;10;;;
3549300;Interior;São João do Pau d'Alho;220;4;;;
3549409;Interior;São Joaquim da Barra;7449;182;;;
3549508;Interior;São José da Bela Vista;338;23;;;
3549607;Interior;São José do Barreiro;763;9;;;
3549706;Interior;São José do Rio Pardo;8015;183;;;
3549805;Interior;São José do Rio Preto;152146;3216;;;
3549904;Interior;São José dos Campos;131819;2363;;;
3549953;RMSP (exceto capital);São Lourenço da Serra;708;42;;;
3550001;Interior;São Luiz do Paraitinga;975;37;;;
3550100;Interior;São Manuel;6691;175;;;
3550209;Interior;São Miguel Arcanjo;4788;90;;;
3550308;Capital;São Paulo;1151589;44613;;;
3550407;Interior;São Pedro;10454;126;;;
3550506;Interior;São Pedro do Turvo;1023;16;;;
3550605;Interior;São Roque;7204;136;;;
3550704;Interior;São Sebastião;8784;203;;;
3550803;Interior;São Sebastião da Grama;2763;39;;;
3550902;Interior;São Simão;1689;39;;;
3551009;Interior;São Vicente;31145;1467;;;
3551108;Interior;Sarapuí;524;7;;;
3551207;Interior;Sarutaiá;154;23;;;
3551306;Interior;Sebastianópolis do Sul;360;10;;;
3551405;Interior;Serra Azul;1466;21;;;
3551504;Interior;Serrana;10639;151;;;
3551603;Interior;Serra Negra;6967;100;;;
3551702;Interior;Sertãozinho;20305;571;;;
3551801;Interior;Sete Barras;2967;48;;;
3551900;Interior;Severínia;2815;85;;;
3552007;Interior;Silveiras;567;11;;;
3552106;Interior;Socorro;6478;116;;;
3552205;Interior;Sorocaba;111003;3237;;;
3552304;Interior;Sud Mennucci;966;23;;;
3552403;Interior;Sumaré;41386;999;;;
